getword_length(),getletter_combination(),getNumberOfDifferentLetters(),getNumberOfRepeatingLetters(),getNumberOfRareLetters(),getRatioVowelsConsonants(),getFreqDistrofWordinCorpus(),score
1,1,5,1,0,3,1,1.16
5,2,3,1,0,1,5,2.84
1,4,5,1,0,1,1,1.56
2,1,4,2,0,5,5,1.76
5,1,3,1,0,1,5,2.68
1,4,5,1,0,5,1,1.72
1,1,5,1,0,1,5,1.24
1,1,5,1,0,1,1,1.08
5,2,4,1,0,1,5,2.92
3,2,4,1,0,1,1,1.96
1,1,5,1,0,5,5,1.4
1,1,3,1,0,3,1,1.0
5,1,3,1,0,1,5,2.68
2,2,5,1,0,1,5,1.8
5,3,3,1,1,1,5,3.24
1,3,5,1,0,1,1,1.4
1,1,5,1,0,3,1,1.16
1,1,5,1,0,1,2,1.12
1,1,5,1,0,1,1,1.08
4,1,3,1,0,1,5,2.28
1,4,5,1,0,5,1,1.72
1,1,5,1,0,3,1,1.16
1,1,3,1,0,3,1,1.0
5,1,3,2,0,1,5,2.72
1,1,5,1,0,2,1,1.12
4,1,3,2,0,1,1,2.16
1,1,5,1,0,1,2,1.12
1,1,5,1,0,2,1,1.12
4,2,4,1,0,1,4,2.48
1,1,5,1,1,2,1,1.36
1,1,5,1,0,1,1,1.08
3,3,3,1,1,1,1,2.28
5,1,3,2,0,1,5,2.72
1,4,5,1,0,5,1,1.72
1,1,3,1,0,5,5,1.24
1,1,5,1,0,3,1,1.16
1,1,5,1,0,3,1,1.16
3,1,4,1,0,1,3,1.88
4,4,2,2,0,2,4,2.72
1,1,5,1,0,5,1,1.24
1,1,5,1,0,3,1,1.16
1,1,5,1,0,2,1,1.12
1,1,2,2,0,5,5,1.2
4,2,5,1,1,1,2,2.72
2,4,5,1,0,1,1,1.96
5,2,4,2,0,1,5,2.96
1,1,2,2,0,5,5,1.2
1,1,3,2,0,1,5,1.12
1,1,5,1,0,2,1,1.12
2,1,4,1,1,2,1,1.68
4,1,4,1,0,1,5,2.36
4,1,5,1,1,1,5,2.68
1,1,5,1,1,2,1,1.36
4,2,4,1,0,2,5,2.56
3,2,4,2,0,1,1,2.0
1,1,2,2,0,5,5,1.2
1,1,5,1,0,1,1,1.08
1,1,5,1,0,1,1,1.08
1,4,5,1,0,3,1,1.64
3,1,3,1,0,2,1,1.76
